,coal,oil,lignite,gas
2020-11-30,6.979900744416874,32.220383104513616,6.2200853763304425,15.140000343322754
2020-12-01,6.991315136476427,32.220383104513616,6.230257224860828,14.90999984741211
2020-12-02,7.076923076923077,32.220383104513616,6.306546088838715,14.904999732971191
2020-12-03,7.059801488833747,32.220383104513616,6.291288316043137,14.145000457763672
2020-12-04,7.213895781637717,32.220383104513616,6.428608271203335,14.645000457763672
2020-12-05,7.213895781637717,32.220383104513616,6.428608271203335,14.645000457763672
2020-12-06,7.213895781637717,32.220383104513616,6.428608271203335,14.645000457763672
2020-12-07,7.1853598014888345,32.2367305064234,6.403178649877374,14.354999542236328
2020-12-08,7.196774193548387,32.2367305064234,6.413350498407757,14.444999694824219
2020-12-09,7.225310173697269,32.2367305064234,6.438780119733719,14.734999656677246
2020-12-10,7.305210918114144,32.2367305064234,6.509983059446415,15.539999961853027
2020-12-11,7.43076923076923,32.2367305064234,6.621873393280651,15.960000038146973
2020-12-12,7.43076923076923,32.2367305064234,6.621873393280651,15.960000038146973
2020-12-13,7.43076923076923,32.2367305064234,6.621873393280651,15.960000038146973
2020-12-14,7.465012406947891,33.087324608736445,6.652388938871806,16.604999542236328
2020-12-15,7.510669975186104,33.087324608736445,6.693076332993346,17.225000381469727
2020-12-16,7.487841191066996,33.087324608736445,6.672732635932575,16.3799991607666
2020-12-17,7.493548387096775,33.087324608736445,6.677818560197769,15.9399995803833
2020-12-18,7.533498759305211,33.087324608736445,6.713420030054117,15.885000228881836
2020-12-19,7.533498759305211,33.087324608736445,6.713420030054117,15.885000228881836
2020-12-20,7.533498759305211,33.087324608736445,6.713420030054117,15.885000228881836
2020-12-21,7.544913151364764,33.244444846439734,6.7235918785845,16.795000076293945
2020-12-22,7.544913151364764,33.244444846439734,6.7235918785845,17.635000228881836
2020-12-23,7.539205955334987,33.244444846439734,6.718505954319308,17.5049991607666
2020-12-24,7.544913151364764,33.244444846439734,6.7235918785845,17.649999618530273
2020-12-25,7.544913151364764,33.244444846439734,6.7235918785845,17.649999618530273
2020-12-26,7.544913151364764,33.244444846439734,6.7235918785845,17.649999618530273
2020-12-27,7.544913151364764,33.244444846439734,6.7235918785845,17.649999618530273
2020-12-28,8.178411910669976,33.244444846439734,7.28812947202087,19.149999618530273
2020-12-29,7.990074441687345,33.244444846439734,7.1202939712695175,18.774999618530273
2020-12-30,7.921588089330025,33.244444846439734,7.059262880087207,19.0
2020-12-31,7.875930521091812,33.244444846439734,7.018575485965667,19.125
2021-01-01,7.875930521091812,33.244444846439734,7.018575485965667,19.125
2021-01-02,7.875930521091812,33.244444846439734,7.018575485965667,19.125
2021-01-03,7.875930521091812,33.244444846439734,7.018575485965667,19.125
2021-01-04,7.910173697270471,33.244444846439734,7.049091031556822,19.844999313354492
2021-01-05,7.407940446650124,33.244444846439734,6.601529696219881,18.0049991607666
2021-01-06,7.333746898263027,33.244444846439734,6.535412680772378,17.565000534057617
2021-01-07,7.601985111662531,33.244444846439734,6.774451121236426,19.30500030517578
2021-01-08,7.818858560794045,33.244444846439734,6.967716243313742,20.1200008392334
2021-01-09,7.818858560794045,33.244444846439734,6.967716243313742,20.1200008392334
2021-01-10,7.818858560794045,33.244444846439734,6.967716243313742,20.1200008392334
2021-01-11,7.818858560794045,33.845478793747,6.967716243313742,22.125
2021-01-12,8.047146401985112,33.845478793747,7.171153213921442,26.155000686645508
2021-01-13,8.007196029776676,33.845478793747,7.135551744065095,21.5
2021-01-14,7.978660049627792,33.845478793747,7.110122122739132,21.334999084472656
2021-01-15,7.830272952853597,33.845478793747,6.977888091844125,20.200000762939453
2021-01-16,7.830272952853597,33.845478793747,6.977888091844125,20.200000762939453
2021-01-17,7.830272952853597,33.845478793747,6.977888091844125,20.200000762939453
2021-01-18,7.676178660049628,39.208967463061946,6.840568136683928,20.200000762939453
2021-01-19,7.704714640198511,39.208967463061946,6.865997758009891,20.325000762939453
2021-01-20,7.704714640198511,39.208967463061946,6.865997758009891,20.260000228881836
2021-01-21,7.710421836228288,39.208967463061946,6.871083682275084,20.065000534057617
2021-01-22,7.704714640198511,39.208967463061946,6.865997758009891,21.485000610351562
2021-01-23,7.704714640198511,39.208967463061946,6.865997758009891,21.485000610351562
2021-01-24,7.704714640198511,39.208967463061946,6.865997758009891,21.485000610351562
2021-01-25,7.699007444168735,40.58573857177815,6.860911833744699,20.15999984741211
2021-01-26,7.721836228287842,40.58573857177815,6.881255530805469,19.510000228881836
2021-01-27,7.727543424317618,40.58573857177815,6.886341455070662,19.700000762939453
